0 1:1 2:29 3:47000
0 1:1 2:36 3:63000
0 1:1 2:24 3:55000
1 1:1 2:47 3:51000
0 1:1 2:35 3:58000
1 1:1 2:46 3:23000
1 1:1 2:42 3:90000
0 1:1 2:31 3:89000
0 1:1 2:52 3:114000
0 1:1 2:32 3:18000
0 1:1 2:40 3:61000
0 1:1 2:49 3:65000
0 1:1 2:25 3:87000
1 1:1 2:58 3:144000
0 1:1 2:24 3:23000
1 1:1 2:42 3:73000
1 1:1 2:51 3:146000
0 1:1 2:29 3:83000
0 1:1 2:34 3:43000
0 1:1 2:25 3:79000
0 1:1 2:35 3:88000
0 1:1 2:36 3:60000
1 1:1 2:49 3:86000
0 1:1 2:24 3:32000
0 1:1 2:30 3:80000
0 1:1 2:40 3:72000
1 1:1 2:60 3:46000
0 1:1 2:30 3:79000
1 1:1 2:46 3:117000
1 1:1 2:33 3:149000
1 1:1 2:45 3:26000
0 1:1 2:23 3:48000
0 1:1 2:35 3:65000
0 1:1 2:35 3:75000
1 1:1 2:37 3:137000
0 1:1 2:29 3:83000
0 1:1 2:39 3:42000
1 1:1 2:58 3:95000
0 1:1 2:35 3:38000
1 1:1 2:54 3:108000
0 1:1 2:33 3:60000
0 1:1 2:34 3:25000
1 1:1 2:55 3:39000
0 1:1 2:31 3:71000
1 1:1 2:40 3:107000
1 1:1 2:28 3:123000
0 1:1 2:41 3:79000
1 1:1 2:45 3:131000
1 1:1 2:43 3:129000
1 1:1 2:60 3:83000
1 1:1 2:42 3:149000
1 1:1 2:58 3:101000
1 1:1 2:29 3:148000
1 1:1 2:59 3:143000
0 1:1 2:18 3:52000
1 1:1 2:46 3:28000
1 1:1 2:32 3:120000
0 1:1 2:39 3:73000
0 1:1 2:40 3:65000
0 1:1 2:38 3:65000
0 1:1 2:42 3:54000
0 1:1 2:35 3:71000
0 1:1 2:35 3:75000
0 1:1 2:19 3:19000
1 1:1 2:52 3:90000
0 1:1 2:39 3:61000
0 1:1 2:31 3:58000
0 1:1 2:37 3:72000
0 1:1 2:28 3:87000
1 1:1 2:53 3:72000
1 1:1 2:47 3:23000
0 1:1 2:33 3:43000
0 1:1 2:20 3:23000
1 1:1 2:48 3:35000
1 1:1 2:35 3:91000
0 1:1 2:19 3:85000
0 1:1 2:37 3:77000
0 1:1 2:30 3:87000
0 1:1 2:18 3:68000
0 1:1 2:20 3:49000
1 1:1 2:47 3:30000
1 1:1 2:37 3:144000
1 1:1 2:44 3:139000
0 1:1 2:37 3:55000
0 1:1 2:19 3:25000
1 1:1 2:55 3:130000
0 1:1 2:35 3:47000
0 1:1 2:41 3:30000
0 1:1 2:41 3:80000
1 1:1 2:52 3:150000
